# Imported swayward structural skips not supported by the pinned sway run.
# A sway pass often means real Xwayland supplied a premise absent from the old native-Wayland adapter.
# file	assertion	claimed_family
102-dock.t	1	x11_dock
102-dock.t	14	x11_dock
102-dock.t	18	x11_dock
102-dock.t	21	x11_dock
102-dock.t	23	x11_dock
112-floating-resize.t	1	x11_absolute_geometry
112-floating-resize.t	2	x11_absolute_geometry
112-floating-resize.t	3	x11_absolute_geometry
112-floating-resize.t	4	x11_absolute_geometry
112-floating-resize.t	5	x11_absolute_geometry
112-floating-resize.t	6	x11_absolute_geometry
112-floating-resize.t	7	x11_absolute_geometry
112-floating-resize.t	8	x11_absolute_geometry
112-floating-resize.t	9	x11_absolute_geometry
112-floating-resize.t	10	x11_absolute_geometry
112-floating-resize.t	11	x11_absolute_geometry
112-floating-resize.t	12	x11_absolute_geometry
112-floating-resize.t	13	x11_absolute_geometry
112-floating-resize.t	14	x11_absolute_geometry
112-floating-resize.t	15	x11_absolute_geometry
113-urgent.t	2	x11_ewmh
113-urgent.t	3	x11_ewmh
113-urgent.t	4	x11_ewmh
113-urgent.t	5	x11_ewmh
113-urgent.t	6	x11_ewmh
113-urgent.t	7	x11_ewmh
113-urgent.t	8	x11_ewmh
113-urgent.t	9	x11_ewmh
113-urgent.t	10	x11_ewmh
113-urgent.t	11	x11_ewmh
113-urgent.t	12	x11_ewmh
113-urgent.t	13	x11_ewmh
113-urgent.t	14	x11_ewmh
113-urgent.t	15	x11_ewmh
113-urgent.t	16	x11_ewmh
113-urgent.t	17	x11_ewmh
113-urgent.t	18	x11_ewmh
113-urgent.t	19	x11_ewmh
113-urgent.t	22	x11_ewmh
113-urgent.t	23	x11_ewmh
133-size-hints.t	4	x11_ewmh
133-size-hints.t	6	x11_ewmh
133-size-hints.t	8	x11_ewmh
133-size-hints.t	9	x11_ewmh
133-size-hints.t	10	x11_ewmh
133-size-hints.t	11	x11_ewmh
133-size-hints.t	12	x11_ewmh
133-size-hints.t	13	x11_ewmh
133-size-hints.t	14	x11_ewmh
141-resize.t	61	i3_floating_wrapper
141-resize.t	70	i3_floating_wrapper
141-resize.t	77	i3_floating_wrapper
141-resize.t	83	i3_floating_wrapper
150-regress-dock-restart.t	4	x11_dock
150-regress-dock-restart.t	7	x11_dock
154-regress-multiple-dock.t	1	x11_dock
177-bar-config.t	1	bar_protocol
177-bar-config.t	2	bar_protocol
177-bar-config.t	3	bar_protocol
177-bar-config.t	4	bar_protocol
177-bar-config.t	5	bar_protocol
177-bar-config.t	6	bar_protocol
177-bar-config.t	7	bar_protocol
177-bar-config.t	8	bar_protocol
177-bar-config.t	9	bar_protocol
177-bar-config.t	10	bar_protocol
177-bar-config.t	11	bar_protocol
177-bar-config.t	12	bar_protocol
177-bar-config.t	13	bar_protocol
177-bar-config.t	15	bar_protocol
177-bar-config.t	16	bar_protocol
177-bar-config.t	17	bar_protocol
177-bar-config.t	18	bar_protocol
177-bar-config.t	19	bar_protocol
177-bar-config.t	20	bar_protocol
177-bar-config.t	21	bar_protocol
177-bar-config.t	22	bar_protocol
177-bar-config.t	23	bar_protocol
177-bar-config.t	25	bar_protocol
189-floating-constraints.t	21	x11_ewmh
189-floating-constraints.t	22	x11_ewmh
189-floating-constraints.t	25	x11_ewmh
189-floating-constraints.t	26	x11_ewmh
200-urgency-timer.t	1	x11_ewmh
200-urgency-timer.t	2	x11_ewmh
200-urgency-timer.t	3	x11_ewmh
200-urgency-timer.t	4	x11_ewmh
200-urgency-timer.t	5	x11_ewmh
200-urgency-timer.t	6	x11_ewmh
200-urgency-timer.t	7	x11_ewmh
200-urgency-timer.t	8	x11_ewmh
200-urgency-timer.t	9	x11_ewmh
200-urgency-timer.t	10	x11_ewmh
200-urgency-timer.t	11	x11_ewmh
222-regress-dock-resize.t	1	x11_dock
232-cmd-move-criteria.t	3	x11_ewmh
232-cmd-move-criteria.t	5	x11_ewmh
232-cmd-move-criteria.t	7	x11_ewmh
232-cmd-move-criteria.t	9	x11_ewmh
232-cmd-move-criteria.t	11	x11_ewmh
232-cmd-move-criteria.t	13	x11_ewmh
232-cmd-move-criteria.t	15	x11_ewmh
232-cmd-move-criteria.t	17	x11_ewmh
232-cmd-move-criteria.t	19	x11_ewmh
232-cmd-move-criteria.t	21	x11_ewmh
248-regress-urgency-clear.t	1	x11_ewmh
248-regress-urgency-clear.t	2	x11_ewmh
248-regress-urgency-clear.t	3	x11_ewmh
248-regress-urgency-clear.t	4	x11_ewmh
269-focus-stack-above.t	4	x11_ewmh
269-focus-stack-above.t	5	x11_ewmh
272-regress-focus-assign.t	7	x11_ewmh
277-ipc-window-urgent.t	1	x11_ewmh
277-ipc-window-urgent.t	2	x11_ewmh
280-wm-class-change-handler.t	1	x11_ewmh
280-wm-class-change-handler.t	2	x11_ewmh
280-wm-class-change-handler.t	3	x11_ewmh
317-bar-output-trailing-space.t	1	bar_protocol
317-bar-output-trailing-space.t	2	bar_protocol
317-bar-output-trailing-space.t	3	bar_protocol
317-bar-output-trailing-space.t	4	bar_protocol
