# Black-box result differences from the imported in-process census.
# file	imported pass/skip/fail/unreached/assertions	black-box pass/skip/fail/unreached/assertions
001-tile.t	3/0/0/0/3	0/0/0/3/3
003-ipc.t	1/0/0/0/1	0/0/0/1/1
005-floating.t	9/4/0/0/13	0/0/0/13/13
100-fullscreen.t	72/7/0/0/79	0/0/0/79/79
101-focus.t	8/0/0/0/8	0/0/0/8/8
102-dock.t	0/23/0/0/23	1/0/0/0/1
104-focus-stack.t	2/0/0/0/2	0/0/0/2/2
111-goto.t	13/0/0/0/13	0/0/0/13/13
112-floating-resize.t	0/15/0/0/15	15/0/0/0/15
113-urgent.t	1/49/0/0/50	18/0/15/0/33
115-ipc-workspaces.t	8/0/0/0/8	8/0/1/0/9
116-nestedcons.t	4/1/0/0/5	4/0/1/0/5
117-workspace.t	50/42/0/0/92	47/0/3/0/50
118-openkill.t	6/0/0/0/6	0/0/0/6/6
119-match.t	27/0/0/0/27	0/0/0/27/27
120-multiple-cmds.t	8/12/11/0/31	17/0/14/0/31
121-next-prev.t	12/0/0/0/12	0/0/0/12/12
122-split.t	31/0/0/0/31	0/0/0/41/41
124-move.t	49/5/0/0/54	0/0/0/54/54
126-regress-close.t	1/0/0/0/1	0/0/0/1/1
127-regress-floating-parent.t	0/4/0/0/4	0/0/0/4/4
128-open-order.t	7/0/0/0/7	0/0/0/7/7
129-focus-after-close.t	15/0/0/0/15	0/0/0/15/15
130-close-empty-split.t	8/0/0/0/8	0/0/0/8/8
131-stacking-order.t	7/0/0/0/7	0/0/0/7/7
132-move-workspace.t	159/1/0/0/160	0/0/0/160/160
133-size-hints.t	0/16/0/0/16	0/0/0/16/16
134-invalid-command.t	1/0/0/0/1	0/0/0/1/1
135-floating-focus.t	69/13/0/0/82	0/0/0/82/82
136-floating-ws-empty.t	11/0/0/0/11	0/0/0/11/11
137-floating-unmap.t	2/0/0/0/2	0/0/0/2/2
138-floating-attach.t	11/0/0/0/11	0/0/0/11/11
